Stop ID,Direction,Stop Name
2488,SB,505 Science Dr
2169,NB,505 Science Drive
7912,SB,Acewood at Agate
7943,NB,Acewood at Agate
7176,SB,Acewood at Cottage Grove
7925,NB,Acewood at Cottage Grove
7369,NB,Acewood at Goldfinch
7898,SB,Acewood at Goldfinch
7181,NB,Acewood at Leo
7282,SB,Acewood at Leo
7313,NB,Acewood at Martha
7836,SB,Acewood at Martha
7140,SB,Acewood at Onyx
7969,NB,Acewood at Onyx
7156,SB,Acewood at Starker
7843,NB,Advance at Pflaum
3224,SB,Agriculture at Femrite
3462,EB,Agriculture at Tradewinds
2559,NB,Allen at Chamberlain
2678,SB,Allen at Chamberlain
2640,SB,Allen at Commonwealth
2969,NB,Allen at Commonwealth
2306,SB,Allen at Regent
2855,NB,Allen at Regent
2517,NB,Allen at Rowley
2239,NB,Allen at University
2880,SB,Allen at University
4849,NB,Allied at Jenewein
4806,SB,Allied at Lovell
4158,SB,Allied at Thurston
4663,NB,Allied at Thurston
9262,SB,American at American Family
9595,EB,American at American Family
9630,SB,American at Buttonwood
9333,NB,American at Eastpark
9196,SB,American at F I Headquarters
9327,NB,American at F I Headquarters
9803,NB,American at Tancho
9684,WB,American Family at American
9900,SB,American Family at F I Building
7437,NB,Amnicon at Aztalan
7944,SB,Amnicon at Aztalan
7560,SB,Amnicon at Cottage Grove
7811,NB,Amnicon at Cottage Grove
9259,EB,Anderson at Hoffman
9724,WB,Anderson at Hoffman
9666,NB,Anderson at Pankratz
9847,SB,Anderson at Pankratz
9383,EB,Anderson at Pearson
9532,WB,Anderson at Pearson
9144,EB,Anniversary at Forest Run
9198,EB,Anniversary at Hayes
7243,NB,Atlas at Argosy
7751,NB,Atlas at Cottage Grove
7527,NB,Atlas at Neptune
1907,EB,Atwood at Oakridge
0047,NB,Babcock at Linden
3105,NB,Badger at Nob Hill
3550,SB,Badger at Nob Hill
3811,EB,Badger at Rimrock
1936,EB,Baldwin at Sherman
0433,EB,Beld at Gilson
4102,WB,Beltline N at Cannonball
4516,WB,Beltline N at Damon
4144,WB,Beltline N at Todd
4351,EB,Beltline S at Cannonball
4728,WB,Beltline S at Cannonball
4412,WB,Beltline S at Grandview
4776,WB,Beltline S at River Bend
4873,EB,Beltline S at River Bend
4685,EB,Beltline S at Seminole
4782,WB,Beltline S at Todd
4841,EB,Beltline S at Todd
9829,NB,Biltmore at Buttonwood
3592,WB,Brandenburg at Freese
0751,NB,Breese at Hoyt
0349,NB,Breese at Regent
0916,SB,Breese at Regent
4909,EB,Britta at Verona E
8319,NB,Brookwood at Hammersley
8932,SB,Brookwood at Piping Rock
7152,NB,Buckeye at Davies
7131,SB,Buckeye at Monona
7388,WB,Buckeye at Monona
5107,EB,Burning Wood at Arapahoe
1870,SB,Butler at Main
9744,WB,Buttonwood at American Family
2259,EB,Capital at Baker
2355,EB,Capital at Old Middleton
2165,EB,Capital at University
4980,WB,Carling at Allied
8259,EB,Carnwood at Maple Grove
8388,WB,Carnwood at Maple Grove
8461,EB,Carnwood at Mckenna
8351,EB,Carnwood at Muir Field
1324,SB,Carroll at Mifflin
9799,NB,City View at Burke
9826,SB,City View at Burke
9241,NB,City View at Crossroads
9131,EB,City View at High Crossing
9498,SB,City View at Wall
9957,NB,City View at Wall
4426,SB,Coho at Beltline S
4787,NB,Coho at Beltline S
6197,EB,Colony at Gammon
5295,NB,Comanche at Wheeler
5540,SB,Comanche at Wheeler
1117,EB,Commercial at Kedzie
1852,WB,Commercial at Kedzie
1326,WB,Commercial at North Lawn
1605,EB,Commercial at North Lawn
1115,EB,Commercial at Oak
9740,WB,Commercial N at Fair Oaks
9361,EB,Commercial S at Fair Oaks
2173,NB,Commonwealth at Gregory
2710,SB,Commonwealth at Gregory
2503,NB,Commonwealth at Leonard
2624,SB,Commonwealth at Leonard
2279,NB,Commonwealth at Monroe
2135,NB,Commonwealth at Rugby
2180,SB,Commonwealth at Rugby
9975,NB,Continental at Washington
7100,EB,Corporate at East Transfer
4141,EB,Crawford at Helene
4700,WB,Crawford at Helene
4121,EB,Crawford at Whenona
4986,WB,Crawford at Whenona
4847,EB,Crescent at Allied
4990,WB,Crescent at Allied
9539,WB,Crossroads at City View
9118,EB,Crossroads at High Crossing
9349,NB,Crossroads at Park Bank
9412,SB,Crossroads at Park Bank
9615,NB,Crossroads at Wall
9720,SB,Crossroads at Wall
7121,NB,Crystal at Diamond
7184,SB,Crystal at Diamond
1174,WB,Dayton at State
6633,NB,Deming at Blackhawk
6660,SB,Deming at Blackhawk
6427,NB,Deming at Excelsior
6402,WB,Deming at Gialamas
6585,WB,Deming at Gialamas
6218,SB,Deming at John Deere
6511,NB,Deming at John Deere
7446,WB,Dennett at Dempsey
7466,WB,Dennett at Ring
7767,EB,Dennett at Ring
1126,SB,Division at Eastwood
1784,SB,Division at Oakridge
1995,NB,Division at Oakridge
7128,WB,Dominion at Galileo
7377,EB,Dominion at Galileo
7628,WB,Dominion at Sprecher
7163,EB,Dominion at Traveler
7814,WB,Dominion at Traveler
6449,WB,D'Onofrio at High Point
6121,NB,D'Onofrio at Mineral Point
6440,SB,D'Onofrio at Mineral Point
6783,WB,D'Onofrio at West Towne
6848,SB,D'Onofrio at West Towne
1189,EB,Doty at Pinckney
6164,WB,Driveway at Prairie Towne
6661,EB,Driveway at Prairie Towne
3721,EB,Dutch Mill at Ellestad
3195,EB,Dutch Mill at Park And Ride
9207,EB,Dwight at Independence
9677,EB,East Towne at Eagan
9422,WB,East Towne at Independence
9783,EB,East Towne at Independence
9348,SB,East Towne at Springs
9351,NB,East Towne at Springs
9391,EB,East Towne at Zeier
9928,WB,East Towne at Zeier
9932,EB,Eastpark at Broadview
9147,EB,Eastpark at Park And Ride
2121,NB,Eau Claire at Regent
6165,NB,Excelsior at Associated Bank
6796,SB,Excelsior at Associated Bank
6149,SB,Excelsior at Fourier
6490,SB,Excelsior at Old Sauk
6527,NB,Excelsior at Old Sauk
1587,EB,Fair Oaks at Atwood
1353,EB,Fair Oaks at Capital City
1640,WB,Fair Oaks at Capital City
1420,SB,Fair Oaks at Chicago
1873,NB,Fair Oaks at Chicago
9203,NB,Fair Oaks at Commercial N
9288,SB,Fair Oaks at Commercial N
9693,NB,Fair Oaks at Lexington
9802,SB,Fair Oaks at Lexington
1555,NB,Fair Oaks at Milwaukee
1984,WB,Fair Oaks at Milwaukee
9111,NB,Fair Oaks at Washington
9564,SB,Fair Oaks at Washington
1146,SB,Fairchild at Washington
3299,EB,Femrite at Dutch Mill
1624,SB,First at Johnson
1125,NB,First at Main
1372,SB,First at Main
1849,WB,First at Washington
0170,SB,Fish Hatchery at Catalpa
0530,SB,Fish Hatchery at Cedar
4790,SB,Fish Hatchery at Greenway
0146,SB,Fish Hatchery at Midland
0266,SB,Fish Hatchery at Park
0643,NB,Fisher at Bram
0171,NB,Fisher at Dane
9857,NB,Forest Run at Anniversary
9211,NB,Forest Run at Forest Ridge
9480,SB,Forest Run at Forest Ridge
9842,WB,Forest Run at Hayes
9977,EB,Forest Run at Hayes
0969,NB,Frances at Johnson
3311,NB,Freese at Siggelkow
6480,SB,Gammon at Colony
6501,NB,Gammon at Tree
8733,NB,Gammon at Watts
6631,EB,Ganser at D'Onofrio
6926,SB,Ganser at Mineral Point
6751,EB,Gialamas at Greenway
8742,SB,Gilbert at Gilbert
0110,WB,Gilson at Beld
0570,SB,Gilson at Cedar
0821,NB,Gilson at Cedar
0357,NB,Gilson at Olin
0694,SB,Gilson at Olin
4360,SB,Grandview at Beltline S
4466,SB,Grandview at Kingston
4914,SB,Grandview at Sandwood
4131,EB,Greenway at Applegate
4955,EB,Greenway at Fish Hatchery
1404,SB,Hamilton at Gorham
1966,SB,Hamilton at Johnson
8614,WB,Hammersley at Brookwood
8915,EB,Hammersley at Frisch
8940,WB,Hammersley at Frisch
8604,WB,Hammersley at Gilbert
8827,EB,Hammersley at Gilbert
8594,WB,Hammersley at Lewon
8721,EB,Hammersley at Lewon
8471,EB,Hammersley at Mckenna
8191,EB,Hammersley at Prairie
8738,WB,Hammersley at Prairie
8207,EB,Hammersley at Rae
8154,WB,Hammersley at Reetz
8628,WB,Hammersley at Saalsaa
8839,EB,Hammersley at Saalsaa
8661,EB,Hammersley at Whitcomb
8770,WB,Hammersley at Whitcomb
8857,EB,Hammersley at Whitney
7161,EB,Hargrove at Tulane
7926,WB,Hargrove at Tulane
8170,SB,Hathaway at Greenwich
8491,NB,Hathaway at Greenwich
8236,SB,Hathaway at Schroeder
9186,NB,Hayes at Dawn
9396,WB,Hayes at Morningside
2500,WB,Heather at Hilldale Mall
2501,EB,Heather at Hilldale Mall
4085,NB,Helene at Britta
4582,SB,Helene at Britta
7199,EB,Helgesen at Advance
7662,WB,Helgesen at Advance
7277,EB,Helgesen at Stoughton E
9264,SB,High Crossing at Crossroads
6338,WB,High Point at Big Sky
6767,SB,High Point at Big Sky
6827,NB,High Point at D'Onofrio
6596,WB,High Point at Mineral Point
6120,NB,High Point at Old Sauk
3793,NB,Hoboken at Broadway
9741,EB,Hoepker at Merchant
5100,SB,Huxley at North Transfer
9226,SB,Independence at East Towne
3351,EB,Industrial at Royal
3538,WB,Industrial at Royal
6435,SB,Inner at Colony
6874,NB,Inner at Colony
6323,EB,Inner at Gettysburg
6752,WB,Inner at Gettysburg
6148,WB,Inner at Yellowstone
6459,EB,Inner at Yellowstone
9488,SB,International at 2901
9729,EB,International at 2901
9493,NB,International at American
9790,SB,International at American
9107,EB,International at Anderson
9562,WB,International at Anderson
9168,SB,International at Darwin
9381,EB,International at Packers
7830,SB,Inwood at Open Wood
7907,NB,Inwood at Open Wood
6858,SB,Island at Mineral Point
6997,NB,Island at Mineral Point
0650,EB,John Nolen at Rimrock
1468,WB,King at Wilson
1737,EB,King at Wilson
7919,NB,Kings Mill at Buckeye
0819,EB,Koster at Ardmore
0871,EB,Koster at Bram
0926,SB,Lake at University
3196,WB,Lake Point at Bridge
3323,EB,Lake Point at Bridge
3216,WB,Lake Point at Hoboken
3419,EB,Lake Point at Hoboken
3100,WB,Lake Point at Weber
3101,EB,Lake Point at Weber
7416,EB,Langley at Cottontail
7558,SB,Langley at Dell
9220,WB,Lien at Eagan
9231,EB,Lien at Parkside
9524,WB,Lien at Parkside
9192,WB,Lien at Thierer
9849,EB,Lien at Thierer
9685,EB,Lien at Washington
5306,WB,Londonderry at Dryden
5356,WB,Londonderry at Packers
1823,EB,Main at Pinckney
8163,NB,Manchester at Hartford
8375,NB,Manchester at Mckee
8644,SB,Manchester at Mckee
8580,SB,Manchester at Thornebury
8747,NB,Manchester at Thornebury
8137,EB,Manchester at Westin
8306,WB,Manchester at Westin
5473,EB,Manitowish at Burning Wood
5214,SB,Manitowish at Comanche
3952,SB,Marsh at Calico
3758,SB,Marsh at Kipp
3620,SB,Marsh at Voges
3740,SB,Marsh at Yesterday
6239,EB,Masthead at Island
6564,WB,Masthead at Island
8739,NB,Mckenna at Carnwood
8194,SB,Mckenna at Lancaster
8855,EB,Mckenna at Lancaster
8985,NB,Mckenna at Pilgrim
9000,NB,Mckenna at Pilgrim
8441,EB,Mckenna at Yorktown
8818,WB,Mckenna at Yorktown
9545,EB,Melody at Independence
9313,EB,Melody at Portage
9463,EB,Melody at Stuart
5126,WB,Menomonie at Chinook
5628,WB,Menomonie at Comanche
7154,SB,Merryturn at Kevins
7733,NB,Merryturn at Kevins
7365,NB,Merryturn at Queensbridge
7590,SB,Merryturn at Queensbridge
7214,SB,Merryturn at Retana
7447,NB,Merryturn at Retana
7699,NB,Merryturn at Spicebush
7762,SB,Merryturn at Spicebush
7230,SB,Merryturn at Sudbury
7723,NB,Merryturn at Sudbury
4342,SB,Midvale at Cherokee
4551,NB,Midvale at Cherokee
2741,NB,Midvale at Heather
2362,SB,Midvale at Hilldale Row
4355,NB,Midvale at Nakoma
2634,SB,Midvale at Odana
2194,SB,Midvale at Regent
2337,NB,Midvale at Regent
2812,SB,Midvale at University
4176,SB,Midvale at Yuma
4865,NB,Midvale at Yuma
1310,WB,Mifflin at Carroll
0104,SB,Mills at Dayton
0837,NB,Mills at Dayton
0731,NB,Mills at Regent
0392,SB,Mills at Spring
0445,NB,Mills at Spring
0256,SB,Mills at University
0773,NB,Mills at University
6941,EB,Mineral Point at Island
2638,WB,Mineral Point at Midvale
2472,WB,Mineral Point at Robin
2975,EB,Mineral Point at Robin
2647,EB,Mineral Point at Segoe
1872,SB,MLK at City-County Building
4340,WB,Mohawk at Danbury
